,nickname,text,score,like,dislike,time,watch_movie
41,ihave2dut(lees****),믿고 보는 로코장인 휴그랜트와 드류베리모어...실망시키지 않는다,8,3,2,2018-10-30 16:33,0
42,이승민(seun****),,10,0,0,2020-11-09 14:45,0
43,제이케이(kukt****),"나이먹고보니,  여자주인공이  더 이뻐보인다.말 한마디, 한마디가  너무 주옥 같다.",10,0,0,2020-10-28 0:59,0
44,Joke(jaeh****),,10,0,0,2020-10-27 21:48,0
45,떠나보까(kill****),여친 생기면 또 봐야지!!! (헤일리 베넷에게 완전 뿅간다),8,0,0,2020-10-18 23:40,0
46,mind****,너무너무너므 좋은 영화,10,0,0,2020-10-18 2:06,0
47,cj(bran****),드류베리모어가 이렇게 사랑스러운지 미쳐 몰랐다. 휴 그랜트의 아재 춤은 좀 에러 였지만 ㅋ. 가족 또는 연인과 함께 보기에 참 좋은 영화인것 같다.,10,0,0,2020-10-10 18:34,0
48,uri7****,노팅힐 보고 봤더니 휴그랜트 망가진 모습이 ㅜㅜ드류베리모어는 넘나 예쁘네요.내용은 그냥 보통인데 시간은 잘가는듯.가수로 나오는 코라가 참 멋지네요. 이 영화는 노래가 다했어요.,7,0,0,2020-10-09 3:28,0
49,사계절집순이(hssh****),내 20살때 기억을 떠올려주는 영화,10,0,0,2020-10-04 18:21,0
50,서딸리카(berr****),연애시절 지금의 와이프와 같이 본 영화네요 영화도 영화지만 OST가 너무 좋았던 기억이 나네요 한동안 OST 많이 들었습니다,10,0,0,2020-10-03 13:24,0
51,새로밉니다(saer****),노래가 너무 좋아서 예전부터 보고 싶었던 영화. 세월이 지나도 명곡은 명곡이다.,7,0,0,2020-10-02 0:08,0
52,오케바리(cass****),"드류베리모어 리즈 시절이다.. 노래가 너무 좋다,...",8,0,0,2020-09-28 15:50,0
53,00(yhzz****),이보다 더 완벽한 뮤직비디오가 또 있을까,8,0,0,2020-09-23 23:08,0
54,그는 도덕책(hido****),개연성이 좋고 재미있었다,10,0,0,2020-09-20 0:44,0
55,kknd****,,10,0,0,2020-09-18 21:44,0
56,haha****,음악과 배우의 환상의 콜라보,8,0,0,2020-09-14 22:43,0
57,펭도리(dldb****),이 유명한 영화를 이제서야 봤네요 수작,10,0,0,2020-09-13 8:46,0
58,psp7****,이제서야 영화를 봤는데 역시 재밌네!,10,0,0,2020-09-13 6:59,0
59,사랑하리(qkrg****),어렸을 때부터 들었던 이 노래가 이 노래였다니!! 코라 너무 예쁘고 이야기도 너무 아름다웠어요 뭔가 굉장히 힐링되는..,9,0,0,2020-09-12 10:16,0
60,자마(chal****),"넷플릭스에서 해줘서 13년만에 다시봤는데, 개인적으로 음악영화중에 최고인것 같다. 웃기고 달달하고 감동있고 노래좋고..",10,0,0,2020-09-10 0:33,0
61,kricker(njs0****),노래 진짜 너무 좋고... 여주 좀 답답할때도 있는데 여운이 엄청 남는 영화네요ㅜㅜ 비긴어게인느낌!,10,0,0,2020-09-09 3:26,0
62,Kid J(woxn****),스크린 밖에서 보아도 엉뚱한 시작과 뻔한 진행으로 영화는 끝난다. 그럼에도 이 영화를 재미있고 좋은 영화라고 인식하게 만드는 건 배우와 음악. 미의 화신은 아닐지라도 사랑스러움의 화신이 확실한 드류 베리모어와 유쾌의...,7,0,0,2020-09-08 1:09,0
63,홍민기(mink****),제목 번역 진짜잘했다 노래도 짱좋음,7,0,0,2020-09-07 23:02,0
64,slp2****,신선한 느낌은 아니지만 드류 베리모어와 휴 그랜트의 케미는 정말 더할 나위 없이 좋았던 내 인생작 중 하나!,7,0,0,2020-09-05 22:05,0
65,JIN(ysji****),,10,0,0,2020-09-05 20:26,0
66,아오아야(gars****),"잡다한걸 버무리지 않은 로맨틱 코메디 영화의 정수, OST가 좋은건 덤",9,0,0,2020-09-04 0:59,0
67,lees****,제일 유명한 ost만 알고있었는데 영화에 나오는 모든 노래가 다 좋아요.. 코라 왜이렇게 귀엽고 매력있죠??,10,0,0,2020-09-02 20:22,0
68,이레윤(una9****),너무 예쁜 힐링 영화,10,0,0,2020-08-03 19:52,0
69,짐레이너(star****),너무 재밌어요. 비긴 어게인보다 약간못하지만 근접.. 노래너무좋고 휴그랜트 드류배리모어 헤일리배넷 사랑스런 연기,10,0,0,2020-08-02 1:37,0
70,정호(rlaw****),,9,0,0,2020-07-16 19:11,0
71,김슬미(tmfa****),,8,0,0,2020-06-10 23:05,0
72,jae(jaeg****),,7,0,0,2020-05-24 14:03,0
73,John Kim(wlfk****),Best of best,10,0,0,2020-05-13 13:34,0
74,포리(porr****),로맨틱 코미디의정수 드류배리모어는 정말 사랑스럽다,10,0,0,2020-05-05 0:12,0
75,유진(jini****),,10,0,0,2020-04-16 13:28,0
76,강선영(tjsd****),사랑에 빠진 드류 베리모어의 눈빛은 그 누구도 따라갈 수 없다.,10,0,0,2020-04-05 2:59,0
77,한양길에 오르다(jeon****),캬~~   음악  명곡이다..  가사도 좋고...굿!!  연인들이  보기에 좋은 영화!!,10,0,0,2020-04-01 18:07,0
78,비령(dlgy****),좋앗다 간만에 즐겁게봄,10,0,0,2020-03-07 3:53,0
79,fifp****,사랑으로 돌아가는 방법을 가르쳐주는 영화,7,0,0,2020-01-16 3:15,0
80,lee4****,노래 스토리 연기 전부좋음,10,0,0,2019-12-26 0:18,0
81,토비아스(dlgh****),스토리 좋고 노래 좋고 재밌게 보았다,10,0,0,2019-09-15 0:33,0
82,백준혁(100w****),휴그랜트의 연기는 정말 대단하네요:),9,0,0,2019-09-07 19:42,0
83,1534(yth1****),내 어린시절 보았던 최고의 멜로영화,10,0,0,2019-08-21 13:56,0
84,song****,다시봐도 훈훈하고  생각나는  ost,10,0,0,2019-07-25 16:18,0
85,설현(ssh1****),7898520654,10,0,0,2019-07-20 2:12,0
86,옥이(yjo0****),영화 끝난 후 달달함에 싸여 한동안 헤어 나오질 못했네요 휴와 드류베리모어의 환상의 조합♥way back in to love흥얼거리다 카뮤에서 찾아 올려 즐겨 듣고 있네요♥,10,0,0,2019-07-15 4:29,0
87,링링(love****),영화속에서 나오는 노래가 모두 사랑스럽다,8,0,0,2019-07-08 4:06,0
88,ehfl****,아름다워요 ㅎㅎ way back into love♥,10,0,0,2019-04-06 1:39,0
89,재규어(popy****),휴 작품들 중 젤 재미남!,8,0,0,2018-07-15 16:33,0
90,ICED(iced****),"아름다운 영화, 아름다운 배우들, 조금만 더 빠른 전개였다면 좋았을텐데.",6,0,0,2018-01-10 3:03,0
91,pont****,조지 마이클 이야기라고 들은 거 같은데.. 짠하다.,7,0,0,2017-11-06 10:24,0
92,민(alsg****),흐뭇해지는 로맨스 코미디 영화. 음악들도 좋았고 내용이 전체적으로 재밌었음!!,9,0,0,2017-08-13 0:52,0
93,첼시코기(chew****),전형적인 로맨스 그래도 way back into love,8,0,0,2017-07-28 4:53,0
94,LACOSTTE(2024****),ost 진짜 너무 좋다.,7,0,0,2017-03-01 10:29,0
95,Hazel(lroi****),노래도 좋고 배우들도 좋다. 휴 그랜트는 말할 것도 없고 드류 베리모어라는 배우도 예쁘네.,8,0,0,2017-01-14 23:08,0
96,전역이(mond****),드류 베리모어 정말 사랑스럽다. 휴 그랜트도 이런 역할에 딱. OST도 굿.,9,0,0,2017-01-09 20:29,0
97,milk****,이 영화의 유명한 ost는 내가 외우는 팝송!,8,0,0,2016-12-01 1:50,0
98,착한세영이(sy83****),사랑스러운 커플과 노래,9,0,0,2016-03-11 22:43,0
99,boilcy(hjjn****),노래때문에 봤는데 재밌었음 bb,10,0,0,2016-02-22 12:37,0
100,시리우스(soqu****),영화의 달콤함을 더해주는 음악의 풍미,6,0,0,2016-02-13 7:25,0
101,정영주(rldu****),와진짜대박ㅠㅠㅠㅠ감동,10,0,0,2016-02-07 18:06,0
102,sckc****,이건 명확히 10점짜리다,10,0,0,2016-01-28 14:56,0
103,jonh****,로코중 상위권급 영화이다. 드류 베리모어의 사랑스러움은 덤,10,0,0,2016-01-14 22:21,0
104,쌈동(ldh2****),보는 내내 사랑스럽게 볼 수 있는 영화,9,0,0,2015-12-25 3:15,0
105,ㅇㅈ(cait****),아 이거 너무 행복해지는 영화.. 드류베리모어 정말 예쁘고 사랑스럽다 ㅠㅠ ost 하나라도 안좋은게없네요.. 진짜 웃음 나오는 좋은 영화,9,0,0,2015-12-06 16:04,0
106,나른한 오후(sc98****),너무 너무 재밌게 봤어요,10,0,0,2015-11-30 12:50,0
107,쭈비(rkdm****),로맨틱 코미디의 대표주자 휴그랜트와 너무나도 아름다운 드류베리모어.. 참 미소를 짓게 만들어주는 사랑스러운 영화..,10,0,0,2015-10-11 23:52,0
108,구월이일(jhj9****),로맨스 끝판왕인 것 같은데...,10,0,0,2015-09-13 18:59,0
109,유후(minh****),영화에 노래가 곁들여져 더 아름다웠다,10,0,0,2015-08-31 14:34,0
110,dltm****,엄청보고싶었는데 이제 드디어 봤다 역시 휴그랜트!!! 드류베리모어 진짜 예뻐요!!!!♥,10,0,0,2015-08-11 17:57,0
