,nickname,text,score,like,dislike,time,watch_movie
12325,hyunju(pers****),우선.. 주인공들 연기 넘 잘하시니.. 그리고  음악좋고,9,0,0,2014-08-28 18:05,0
12326,호똘루(rico****),원스보다도 더 기분좋아지는영화. 엔딩도 너무 맘에 든다. 애덤리바인 노개런티로 이러실거에요?ㅋㅋ,9,0,0,2014-08-28 18:01,관람객
12327,화뷘(inyo****),"어떻게 이런 영화를 만들었지??? 대박,,",10,0,0,2014-08-28 17:59,0
12328,생각중(cler****),노래도 너무 좋고♥♥ 스토리가 최고♡,10,0,0,2014-08-28 17:57,0
12329,이여엉호(lyh5****),진짜재밌게봤어요 음악나오자마자 소름이... 마룬5보컬나오는줄모르고 봤는데 노래듣자마자 알고 짱잼추천,10,0,0,2014-08-28 17:52,0
12330,이차이(airp****),"영화 보는 내내 푹 빠졌습니다. 노래도,영상도,이야기도,.. 정말 좋았던 영화!",10,0,0,2014-08-28 17:31,0
12331,sall****,재미를 위한 영화였다기보단 보고난후 따뜻한영화라고 생각되는,8,0,0,2014-08-28 17:28,0
12332,지혜(hye6****),귀가황홀한 영화였음.,10,0,0,2014-08-28 17:23,관람객
12333,엔진(news****),"처음 이야기를 접할 때 보다 두번째가 더 와닿는다. 세번째는 이야기가 진행될 수록 흥미를 느끼는 감정을 확인할 수 있었고, 이제 네번째...오만과 편견 5회 관람 이후로 최고다. ㅠㅠ",10,0,0,2014-08-28 17:19,0
12334,차유정(ckdb****),"처음으로 혼자 보게된 영화였는데 스토리도 괜찮고, 여자 주인공 목소리가 너무 예뻐요 잔잔하게 부를때는 한없이 절절하고, 밝게 부를때는 한없이 명량한 느낌이 나더라구요  혼자봤지만 정말 지루하지 않게 잘봤습니다.",10,0,0,2014-08-28 17:18,0
12335,wm(kate****),Ost며 풍경이며 너무나 아름다운 영화,10,0,0,2014-08-28 16:57,0
12336,수달군(dydt****),역대급 영화. 3번봤는데 노래 너무 좋네요 ㅋㅋ 개인적으로 영화 본후에는 애덤보다 여자노래가 더 조은것같아요,10,0,0,2014-08-28 16:42,0
12337,jsh8****,다시 한번 볼 의향있어요 ㅜㅜ 너무 좋음..,10,0,0,2014-08-28 16:33,0
12338,썸(japa****),노래들 기분 좋았어요~~ 꼭 보세요 ㅎㅎ,9,0,0,2014-08-28 16:25,0
12339,셔터링(yhsh****),지루한 부분 있습니다.하지마 명장면 몇가지로 충분히 커버되는 영화.꼭 보세요.,10,0,0,2014-08-28 16:18,0
12340,소용돌이(raho****),그럭저럭... 볼만하네요,9,0,0,2014-08-28 16:10,0
12341,1888(velv****),왜 둘 사이를 축축한분위기를 넣은거지 복면달호 미녀는괴로워 고급버젼 느낌? 지금' lost stars'듣는 중 좋다 노래,7,0,0,2014-08-28 15:54,0
12342,sec5****,은하계에게서 버려진 별처럼 우리는 상처나고 홀로 남겨질 때가 있다. 모두가 자기만의 상처를 안고 살아가는 것이기에. 그러나 음악은 그 상처를 치료할 연고라서 더 이상 아프지않게 한다. 음악은 말한다. 다시 일어서라고...,10,0,0,2014-08-28 15:48,0
12343,강원욱(kang****),정말 기대는 안하고 봤었는데 내용도 좋고 결말도 멋지게 끝난거 같네요!! 재밌게 봤음니다  강추강추~,10,0,0,2014-08-28 15:47,관람객
12344,도경수(heam****),최고!!!!입니당 굿굿,10,0,0,2014-08-28 15:41,0
12345,삐뚤빼뚤(thsl****),여자들이 진짜진짜진짜 좋아할만한 로맨틱코미디물!! 영화분위기가 장난아님. 노래도 다 좋고 완전 최고임.. 남자분들에겐 비추천. 남자분들중에 조는분도 봤음. 그리고 중간중간에 소소하게 웃기고 가정적이고 따뜻한 영화임....,10,0,0,2014-08-28 15:22,0
12346,샹뵤뵤(kmn1****),음악으로 치유받는 영혼들. 길잃은별들의 이야기. 재미있고 감동적이고 여운이 긴 영화입니다. 뻔한 로맨스 영화가 아닌 인생이 담겨있는 영화. 좋은 음악이 많아 밴드의 성장기를 다룬 콘서트를 보고 온 느낌도 가득! 웰메...,10,0,0,2014-08-28 15:20,0
12347,리아(baek****),영화음악도 너무좋고 잔잔하니 넘 좋아요,10,0,0,2014-08-28 15:20,관람객
12348,dydd****,보러 들어가서 이렇게 몰입해서 본 영화는 처음이다.,10,0,0,2014-08-28 14:59,0
12349,마이쥬(hwan****),영화관에서 관람하시는게 사운드가 좋을것 같아요~소름돋고 눈물나고 감동 입니다 Ost 너무 좋았어요~^^,10,0,0,2014-08-28 14:58,0
12350,옆집훈남(wlst****),미련이 남는 영화 뒷이야기가 더 궁금해지는 이야기 ㅜㅜ 오에스티도 짱이였어요,10,0,0,2014-08-28 14:57,0
12351,jeaw****,진짜 최고에요 올해들어본영화중 가장 영화같고 아름다운 영화에요,10,0,0,2014-08-28 14:53,0
12352,sall****,노래두완전좋구요 시간가는줄모르고봤네요!!,9,0,0,2014-08-28 14:52,관람객
12353,공대곰(kkm0****),가을로 넘어가기 전에감성적인 영화를 원한다면 추천!,10,0,0,2014-08-28 14:49,0
12354,아하하(pape****),액션  sf  호러물을 좋아하는  내가  푹 빠질정도  굳!,10,0,0,2014-08-28 14:45,0
12355,아빠컨셉(deli****),음악도 스토리도 과하지 않은 내용으로 진정성을 보여줬다. 우리나라 평론가들은 영화를 평론할 자격이 있나싶음.. 영화는 문화인이 보는건데.,8,0,0,2014-08-28 14:34,0
12356,qnwkxhd(1378****),..짧지만 은은한 감동이 마지막에 펴졌어요...괜차는 영화네...,8,0,0,2014-08-28 14:28,0
12357,미례미(alfp****),영화관가서 다시볼거에용,9,0,0,2014-08-28 14:27,관람객
12358,이예지(leey****),뉴욕을 다녀온 사람이라면 꼭 간직하고 싶은 영화!,9,0,0,2014-08-28 14:17,0
12359,Hermione82(ehdd****),"지극히 따분한 일상의 순간까지도 의미를 갖게 되서 음악이 좋다는 댄의 말이 아직도 가슴에 남았다. 개인적으로 강추 하고 싶은, 오랜만에 아주  좋은 음악영화를 본것같다.",10,0,0,2014-08-28 14:16,0
12360,꼬맹이(eunh****),너무 좋은영화라서 로그인까지하고 평점을 남겨요 !! 노래며 스토리며 영상미 마지막결말까지 전부다 너무너무 좋은 영화였어요~!! 완전완전 추천해요 보고 후회하지않을 영화입니다 ^^,10,0,0,2014-08-28 14:12,0
12361,good****,"이 영화가 <어거스트 러시><어바웃 타임>처럼 가을이나 겨울에 개봉했다면 흥행에 성공했을 텐데.. 아쉽다. 그 만큼 완성도도 높고, 대중적으로 공감할 만한 요소도 많다.게다가 음악까지 좋으니.....",10,0,0,2014-08-28 14:05,0
12362,주누(cam7****),감독보고 봤는데 헐크가 나오네요^^ 전편의 감동을 기대했고 나름 충족시킨 영화! 그러나 약간의 아쉬움은 남는...,8,0,0,2014-08-28 14:04,관람객
12363,한글인(tjdr****),시사회표 생겨서 공짜로 보고 왔는데 이런 영화를 공짜로 봐서 미안하다.,10,0,0,2014-08-28 13:26,0
12364,신똥(dong****),"배경이 된 뉴욕이나, 마크 러팔로가 이끄는 너저분한 분위기에 녹아든 감성돋는 음악들. 궁합이 좋다.",10,0,0,2014-08-28 13:17,0
12365,DUNE(dune****),오랜만에 다시 만난 기분,8,0,0,2014-08-28 13:12,관람객
12366,Diana(dsw1****),진짜 살면서 봐야할 영화!!!!,10,0,0,2014-08-28 13:09,관람객
12367,zize****,아름대운 음악과 영상이 영화 보는 내내 내맘을 흔들었다...,10,0,0,2014-08-28 13:09,0
12368,훗11(gw92****),간만에 재밋는 영화가 아니라 좋은 영화를 보았습니다 잔잔하게 남는 여운이 좋네요,9,0,0,2014-08-28 13:04,0
12369,이선영(leep****),최고의영화인듯 정말강추,10,0,0,2014-08-28 13:04,0
12370,sri(glam****),보세요 후회안함 원스보다 좋음,10,0,0,2014-08-28 13:02,관람객
12371,standbyjulia(zion****),순수한영화 마음깨끗이해주는좋은영화이다,10,0,0,2014-08-28 12:57,관람객
12372,겨미ㅋ(kyum****),말이필요없는 명작 다시보고싶네요,10,0,0,2014-08-28 12:47,0
12373,10 김민수(msoo****),"화면,노래,패션 :-)",8,0,0,2014-08-28 12:47,관람객
12374,참새(spar****),잔잔한 영화지만 여운이 길어 자꾸 영화속의 노래들을 흥얼이게 된다.,10,0,0,2014-08-28 12:46,0
12375,choiiiiiiiiii(fkdd****),노래가 정말 좋았습니다,8,0,0,2014-08-28 12:46,관람객
12376,jiwo****,정말너무감동 영화관에서 안보면후회할뻔ㅠㅠ키이라나이틀리♥♥,10,0,0,2014-08-28 12:45,0
12377,멀티플레이어(grea****),음악이 너무 좋습니다.,10,0,0,2014-08-28 12:42,관람객
12378,kuhu****,음악도 좋고 배우들 연기도 좋았습니다.,10,0,0,2014-08-28 12:40,관람객
12379,icro****,Are We all lost stars~우후 우후휴,7,0,0,2014-08-28 12:35,0
12380,hhhhaaa(suda****),진짜 깔끔한영화! 뻔한 로맨스가 아니어서 좋은영화!,10,0,0,2014-08-28 12:27,0
12381,으아아아(true****),아름다운 영화에요...세상에... ㅠ ㅠ,10,0,0,2014-08-28 12:23,관람객
12382,Force(hyun****),"차분함과 산만함이 느껴지는 거 같으면서도, 웃으며 슬픔을 느끼고 울며 행복함을 찾아가는 그런... 멋진 영화",9,0,0,2014-08-28 12:10,관람객
12383,dmsg****,"힘든 현실에 희망을 보여주는 영화, 가족의 회복. 정말 감동적입니다",10,0,0,2014-08-28 12:10,관람객
12384,옌디아(dnvk****),"노래 정 말 좋다. 비긴 어게인! 아무리 엉클어지고 뒤틀어진 인생이라고 다시 시작하면 돼.. 키이라 나이틀리 노래 실력도 반짝 반짝, 애덤 리바인은 역시 노래 잘하고 ㅎㅎ ost 전부 다 강추",9,0,0,2014-08-28 12:01,0
12385,워니(heew****),오에스티가 다했습니다요 ㅠㅠ 영화 너무 따뜻하고 아름다움`,10,0,0,2014-08-28 11:42,0
12386,Lumb(jerr****),이 영화는 영화를 다 본 후에 집에가는길에 ost를 들으면 끝!,9,0,0,2014-08-28 11:41,0
12387,떰보(sa19****),이 영화대박이다..꼭봐야함ㅜㅜ,10,0,0,2014-08-28 11:39,0
12388,하늘높이(dong****),보고나왔을때맴도는노래덕에하루종일기분좋아지게하는영화,10,0,0,2014-08-28 11:37,0
12389,체리(car3****),이 영화의 존재조차 몰랐다가 우연한 계기로 보게 되었다. 마룬5 좋아하는데 연기도 잘하고 음악도 참 감미로웠다. 계속 생각나는 영화. lost stars~,10,0,0,2014-08-28 11:37,0
12390,윤투덜(grea****),하루종일 센치 팡팡 너무 나를 감동있게하는 나를 위한영화,10,0,0,2014-08-28 11:27,관람객
