,nickname,text,score,like,dislike,time,watch_movie
560,dgms****,보고나서 여운이 많이 남는 영화였어요 최고!,10,1,0,2016-06-15 20:19,관람객
561,ㄱ(komr****),와 인생영화와 와 와 와 인생영화 인새앵 영화 영호아,10,1,0,2016-06-15 20:12,관람객
562,wonb****,주인공보다 더 멋있는 형~ ㅎㅎㅎ,9,1,0,2016-06-15 17:26,관람객
563,dsj3031(haha****),첫날봤는데 재밌어요 재미,10,1,0,2016-06-15 17:09,관람객
564,윤민아(amin****),인생영화ㅠㅠㅠ노래도 다좋아요!!!!,10,1,0,2016-06-15 16:45,0
565,moooon(sky2****),"살짝 기대하고 봤는데, 기대이상이었어요~ 중간중간 유머도 너무 좋았고, 시대배경도 패션, 스타일, 색감 뭐 하나 눈이 즐겁지 않은 장면이 없었네요. 음악도 좋았구요~ 스토리도 가슴 뭉클해서 눈물도 그렁거렸었네요~ 음...",9,1,0,2016-06-15 15:01,관람객
566,지인(herb****),"이렇게 영화 내내 미소를 짓게 되는 거, 좋다.",10,1,0,2016-06-14 23:34,0
567,공민경(alsr****),"5번째 다시 보고 있지만, 늘 마지막 부분이 뭉클했다. 나도 저렇게 열정적이었던 적이 있었는지 고민해보게됬다.",10,1,0,2016-06-14 23:31,0
568,잠좀자자(2o_o****),진짜영화같은생각과삶,10,1,0,2016-06-14 22:53,0
569,라이프이즈굿(sens****),지금이 아니면 할 수 없잖아,8,1,0,2016-06-14 18:19,관람객
570,한티지(choe****),주인공보다 주인공 형한테 많이 끌림  그리고 주인공친구 안경쓴애.,9,1,0,2016-06-13 1:39,0
571,평화중재자(sean****),비긴어게인 학생버전개인적으로 비긴어게인보다 더 풋풋해서좋았음,10,1,0,2016-06-12 23:31,관람객
572,쏭쏭(eofl****),주인공들과 색감이 매력적인 영화,9,1,0,2016-06-12 22:56,관람객
573,장작가(yogu****),가사가 의미가 있어서 참 좋았어요.,10,1,0,2016-06-12 22:55,관람객
574,가히(gahe****),Ost도 너무 좋고 완전 재밌게 잘봤어요 또 또 보고싶은 영화,10,1,0,2016-06-12 21:55,0
575,자가보(yjw9****),리뷰 처음 쓰는데 영화관에서 안봤으면 엄청 후회할뻔.. 기대를 많이 해서 실망할까봐 걱정했는데 그 이상이였고 인생영화였던 비긴어게인을 넘어섰다. 꼭봤음 하는 영화.,10,1,0,2016-06-12 20:38,0
576,Ho순2(mail****),시빌워랑 곡성떔에 묻힌 영화..그정도로 인생영화 입니다. 음악이 약간 올드한 느낌이여도 현대음악과 잘 조합한 느낌입니다.특히 UP이라는 노래가 전 정말 좋더라고요~내용상  작각가 젋은이들에게 해주고 싶어하는 말이 명...,10,1,0,2016-06-12 17:39,0
577,베란다레시피(flav****),귀엽고 사랑스러움으로 무장한 음악영화.블록버스터가 대세인 영화계에 가치있는 목소리를 내는 작지만 좋은 영화.,9,1,0,2016-06-11 21:16,0
578,도르돌(diff****),별기대안하고 봤는데 노래 진짜좋고 스토리도 나쁘지않음조금 별로인건 아일랜드발음이 좀쎄다는것,10,1,0,2016-06-11 15:35,0
579,승상(fant****),정말 멋있는 음악 영화!!!,10,1,0,2016-06-10 23:29,0
580,김지슬(jees****),최고다 너무나 행복한 영화,10,1,0,2016-06-10 22:26,0
581,김용현(kiki****),상상씬에서 소오름...,10,1,0,2016-06-10 20:47,0
582,죠만(afro****),정말 재미있다. .음악도 내용도 다 너무 좋다',10,1,0,2016-06-10 20:18,0
583,빛나는밤(ldea****),라피나가 정말 매력적이에요- 노래도 너무 좋고!,9,1,0,2016-06-10 18:48,0
584,딩가둥가(chun****),노래도 좋고 영화도 재밌고 좋았다.,10,1,0,2016-06-10 18:18,0
585,succ****,음악 스토리 영상 모두 좋았습니다,10,1,0,2016-06-10 14:53,관람객
586,ddaj****,잼남 잼남 잼남 잼남 잼남,10,1,0,2016-06-10 14:47,관람객
587,땅야(0uoo****),어제 부랴부랴 혼자 보러갔다왔어요. 노래들 다 너무좋고..약간 개연성이 떨어지는 부분도 많고 그랬지만...음악 좋아하시는 분들은 보시면 후회는 없으실거같아요! 전 되게 좋았어요. 영화관 나오면서 노래들 바로 재생해서...,9,1,0,2016-06-10 14:45,0
588,kimh****,보는내내뭉클했던영화,10,1,0,2016-06-10 11:45,관람객
589,좋아한다(like****),무엇보다 가사가 너무 예뻐서 넋놓고 봤어요.,9,1,0,2016-06-10 11:41,관람객
590,금오산오뚝이(matt****),"사랑, 열정, 도전을 노래하는 영화는 언제나 옳다! 심장을 들끓게 하는 최고의 영화!! ㅜㅠ 엄지 척!!! d ^-^ b",10,1,0,2016-06-10 9:48,0
591,Adela(choc****),영상미도있고 노래또한 감각적이고..촌스럽지않은 옛날이야기 같은느낌이다. 노래만들어도 표는 안아깝다,8,1,0,2016-06-10 9:17,관람객
592,안나(larp****),굳. 뭐 말 할 필요도 없지. 음악 영화 정말 잘 만드는 듯.,10,1,0,2016-06-10 9:03,0
593,진성최(wlst****),요근래본영화중에 가장 좋았습니다,10,1,0,2016-06-10 8:10,0
594,진리(jane****),"보는내내 눈물이 왈칵 쏟아질것같은 기분으로 감상하다가 마지막 배를타는 장면에선 결국 그 눈물이 쏟아졌다. 영화는 망설이고 있는 모두에게 말한다, 절박하게 외친다. 지금이 아니면, 절대 하지못해요",10,1,0,2016-06-10 7:03,0
595,이데(yide****),내인생영화 베스트..최고의 감동을 느꼈습니다..,10,1,0,2016-06-10 4:11,0
596,ljh(jhne****),"음악의 매력에 빠질수있었고,사랑하고 싶어지는 영화  중간중간 좀 오글거리긴했는데 되게 좋은 영화인건 틀림없음!",9,1,0,2016-06-10 3:57,0
597,또리(1995****),재밌었어요 .. 코너 상상씬은 진짜 말로설명못함..나도기뻤음.. 그리고 노래들도 너무좋고.. 또보고싶네요인생영화 됐습니다,9,1,0,2016-06-10 0:27,관람객
598,hewe****,내 돈주고 영화관가서 3번봤는데 전혀 돈 안아까움ㅠㅠㅜ 또 보고싶다ㅠ,10,1,0,2016-06-09 23:43,0
599,minw****,보는 내내 입가에 미소가 머무는 영화살짝 시리어스한 부분 이후에도 주인공 상상씬 연출과 열린결말로 인해 여운과 생각을 한번 더 하게 되는 기분좋은 영화,10,1,0,2016-06-09 23:38,0
600,나무늘보노보노(san1****),재미 있는데 상영관좀 늘어났으면,10,1,0,2016-06-09 23:16,관람객
601,팩맨(koji****),단순하지만 심심하지 않은 영화,10,1,0,2016-06-09 23:01,0
602,은영(jeyu****),중간중간 재밌는 요소들이 많아 지루하지않고 음악도 좋네요,8,1,0,2016-06-09 22:44,관람객
603,BN(rna_****),소문듣고 봤습니다. 소문대로 재밌네요,10,1,0,2016-06-09 22:42,관람객
604,prin****,순수함이 묻어나는 영화,9,1,0,2016-06-09 22:41,관람객
605,찌롱(dlaw****),그냥 안적을라고했는디 적는다,10,1,0,2016-06-09 22:24,관람객
606,스테픈커리처럼(hjro****),완전 좋은 영화~~보고 계속 생각남,10,1,0,2016-06-09 21:57,0
607,수진(12bs****),노래가 굿굿 너무 좋았어요,9,1,0,2016-06-09 21:29,관람객
608,고스타(kjo6****),나만 주인공의 상상씬에서 울컥 한걸까,10,1,0,2016-06-09 19:14,0
609,이홍석(saac****),간만에 감성 느끼는 영화 봐서 좋아요~,10,1,0,2016-06-09 19:11,관람객
610,왕포(wang****),노래가 만들어지는 과정을 보는 즐거움,9,1,0,2016-06-09 18:57,관람객
611,irule(furu****),내가 널 찾으러 갈게매일 널 찾으러 갈게,9,1,0,2016-06-09 17:38,0
612,som(ktec****),어릴때 생각 많이 나네요. 사춘기 청소년들이 보기 좋은 영화입니다.,10,1,0,2016-06-09 17:16,0
613,루피(xx41****),달달하다 해야 하나 재미있었음,8,1,0,2016-06-09 16:30,0
614,김밴드(kimb****),"어려서 용감하고 맑은 사랑, 노래",8,1,0,2016-06-09 16:09,관람객
615,페코짱(jt48****),기대 하나도 안했었는데...음악에 빠지고 주인공이 잘생겨보이기 시작함 ㅋㅋㅋㅋ,10,1,0,2016-06-09 15:01,0
616,LITHILL(lith****),오랜만에 본 영화인데 재밌었어요,10,1,0,2016-06-09 13:30,관람객
617,조녁(sp62****),무덤덤한 대화속에 빵빵터지는 개그들과 노래들이 너무나 좋았습니다 ㅎㅎ,10,1,0,2016-06-09 12:54,관람객
618,jhsh****,너무 재밋엇어요 감동과 달달함을 준영화,10,1,0,2016-06-09 12:00,관람객
619,쫄보(10dm****),구성이랑 노래가너무 신나서 춤출뻔,9,1,0,2016-06-09 4:01,관람객
620,SUNGJUNN(wm34****),너무너무 재밌어서 또보고싶어요 노래도 무한반복중 ㅠㅠ,10,1,0,2016-06-09 3:01,0
621,알렉스(syun****),이 영화를 보고나니 아직 20대라는 게 참 아름답고 더 뜨겁게 보내고 싶어진다 =) 감독도 배우도 음악도 영상도 정말 멋지다!,10,1,0,2016-06-08 22:13,0
622,내끄햐(endy****),늘 주늑들어 사는 삶에 단비 같은 영화였어요. 힘이 나네요,10,1,0,2016-06-08 21:16,0
623,동글이(dlae****),인생영화 등극 dvd 나오면 바로 구매할래요,10,1,0,2016-06-08 20:32,관람객
624,쌈미티티(fore****),전체적인 이미지나배경다좋았지만 마지막이 너무 열린결말이다 그래도보면후회안할영화,9,1,0,2016-06-08 20:19,관람객
625,qkralsdk93(qkra****),"그냥 음악 영화라는 것만 알고 봤는데, 비긴어게인이랑 원스 봤을 때랑은 또 다른 느낌이 나네요. 라피나가 혼자노래들으면서 울때 같이 울컥했고, 노래들이 다 너무좋네요!",10,1,0,2016-06-08 0:04,관람객
626,은향(silv****),음악이 좋은 영화. 감동은 있지만 개인적으로 큰 여운이 남지는 않음,7,1,0,2016-06-07 19:35,관람객
